session_id_a,platform_a,session_id_b,platform_b,global_uid,expected_method,match_features
A_sess_00035_4226d56e,A,B_sess_00036_9adf6987,B,global_429d0f0d7c9a4c71,deterministic,"{""ip_range"": ""10.116.17.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Mexico City"", ""location_country"": ""MX"", ""hashed_email"": ""96031a061327effe02f5c29bb8bca8e5d9bbe90e2a55c444b97c1dbb4c6646fb""}"
A_sess_00037_4c8e8be3,A,B_sess_00038_c06fbb4b,B,global_ed14431d927544f9,deterministic,"{""ip_range"": ""10.7.18.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Osaka"", ""location_country"": ""JP"", ""hashed_email"": ""e91c06942265f9b186c6aaedbdc7de7f32e19388873a3bcc195585a53c76f996""}"
A_sess_00039_be38b8b7,A,B_sess_00040_9c9c00a6,B,global_446713a5ddad4292,deterministic,"{""ip_range"": ""10.8.19.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""79c306ba58e91ca607e8e432b1719eb4db8b43f322bf457a4b282bfa4e01443c""}"
A_sess_00041_2b2b3a97,A,B_sess_00042_608f80b0,B,global_21684417ecaa4659,deterministic,"{""ip_range"": ""10.117.20.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Seoul"", ""location_country"": ""KR"", ""hashed_email"": ""5e67ba98ba6fea057b5c751184fe3b725bcf3bd4248e527cda9c7819683fa17f""}"
A_sess_00043_b5f6374a,A,B_sess_00044_3c197d91,B,global_fbc3564291f74657,deterministic,"{""ip_range"": ""10.61.21.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Los Angeles"", ""location_country"": ""US"", ""hashed_email"": ""f5c189cdad91f487ddab960cb9d7a21f559bdd88e91cc451495d93d12f7932a9""}"
A_sess_00045_b91fc5d5,A,B_sess_00046_1407139a,B,global_6220dec482fe41ac,deterministic,"{""ip_range"": ""10.231.22.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""63a053297aab77ab6b21bb987ca157ca53e4f8353361c8c29b4e5981df7fa541""}"
A_sess_00047_f681d7f9,A,B_sess_00048_b3c4efcd,B,global_88369f40789e4655,deterministic,"{""ip_range"": ""10.188.23.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""a58674cd127dabfb39cb6bbc4bd355f4b8b1e73561ae95f35b2ac4fcf0c3e2e0""}"
A_sess_00049_85808357,A,B_sess_00050_85856866,B,global_c164892c79164a22,deterministic,"{""ip_range"": ""10.235.24.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Seoul"", ""location_country"": ""KR"", ""hashed_email"": ""7e6a1d63a0d082e452f580d8757f59ec4a2dc50f3ae35d74504dcedc5a74017b""}"
A_sess_00051_7812df05,A,B_sess_00052_c9ba7b57,B,global_1f0c815c69d74167,deterministic,"{""ip_range"": ""10.214.25.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Mumbai"", ""location_country"": ""IN"", ""hashed_email"": ""198166928b8514945684948a8e75f737ff8f0285a1576a017fac6dc60d303c48""}"
A_sess_00053_80db22ee,A,B_sess_00054_4ea1f4c9,B,global_9084718654f54a8c,deterministic,"{""ip_range"": ""10.205.26.0/24"", ""device_type"": ""mobile"", ""location_city"": ""London"", ""location_country"": ""GB"", ""hashed_email"": ""c2ca09b14f7cb46ac651b4a8dd41fe1942e02c978318ad8fd2ba0f4770a081ae""}"
A_sess_00055_987f0f54,A,B_sess_00056_bb8fb4fc,B,global_156c5b740e614403,deterministic,"{""ip_range"": ""10.231.27.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""f96c32dcac958ca0f8bb2034888706b2abd92ad7e6b518169090c5b8c5096b34""}"
A_sess_00057_f4d558ff,A,B_sess_00058_16899a1e,B,global_f3b441a6c1384a78,deterministic,"{""ip_range"": ""10.106.28.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Osaka"", ""location_country"": ""JP"", ""hashed_email"": ""b3818f41c29b1241f74de0e7a6cb8ca03090a7d4b854d3f503434688fd7bf278""}"
A_sess_00059_38ce80a9,A,B_sess_00060_02535475,B,global_346bd56a8a254a2e,deterministic,"{""ip_range"": ""10.47.29.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""705b73db26159cc882bf6f4ee24cdc57d11769c2d68068c56a840b2f30a85b3d""}"
A_sess_00061_a4ea8fdf,A,B_sess_00062_052132c4,B,global_b4300d825fc94cfb,deterministic,"{""ip_range"": ""10.102.30.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""f1d2e483650081aaa48b80390aa13a5fec3a6e8e14e3851d6dc61b821ca90ff1""}"
A_sess_00063_0a6ac09d,A,B_sess_00064_d2567dde,B,global_aba0b44cceeb434a,deterministic,"{""ip_range"": ""10.151.31.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Munich"", ""location_country"": ""DE"", ""hashed_email"": ""70d5bee4235984d3a0a9734cb1fc37a559c42dbc73343dbc66e16ac44bc18bef""}"
A_sess_00065_e198bd71,A,B_sess_00066_5f0ce70d,B,global_30aa8c7c64964949,deterministic,"{""ip_range"": ""10.222.32.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Singapore"", ""location_country"": ""SG"", ""hashed_email"": ""bfb917ec6182756e6c6482f69b5696280d40e673c771cb64b20201e6c6791dbe""}"
A_sess_00067_55f363eb,A,B_sess_00068_8eb3cf48,B,global_66ff87ec43de41a4,deterministic,"{""ip_range"": ""10.94.33.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Mexico City"", ""location_country"": ""MX"", ""hashed_email"": ""38e1a721434c3bdefad3f5e28c04ea60a7dd8f3400642e75cf52b0b593f94700""}"
A_sess_00069_c2383efe,A,B_sess_00070_76637aed,B,global_0a911173a6884eee,deterministic,"{""ip_range"": ""10.131.34.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Chicago"", ""location_country"": ""US"", ""hashed_email"": ""99d7e0b34a8f457b90e7f26533607bd0115b9050c94288e7ccbae3b935b30925""}"
A_sess_00071_dd7f5c0e,A,B_sess_00072_d100b468,B,global_74afc5533fda4697,deterministic,"{""ip_range"": ""10.137.35.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""b444ca01ce74450ff74d5e362dc0255d178ce41f0ea5b58ee6f9e1c1a223c4cc""}"
A_sess_00073_4f8d3049,A,B_sess_00074_9e88bc36,B,global_e8338fe9036c472f,deterministic,"{""ip_range"": ""10.36.36.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Osaka"", ""location_country"": ""JP"", ""hashed_email"": ""1b97513f21836b56a1e95b9d10e406433f3e9fba1ab7a2f14d1c74c37024f1c5""}"
A_sess_00075_2c976d0b,A,B_sess_00076_c19ad28e,B,global_469aa86ac9c640d8,deterministic,"{""ip_range"": ""10.171.37.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Mumbai"", ""location_country"": ""IN"", ""hashed_email"": ""f8c83e529a8a9c1da5eb448feb58ce0b4d2cc31a4666df2189414f99be47e221""}"
A_sess_00077_5f768d89,A,B_sess_00078_7c860488,B,global_f8fb5ac12dcf48db,deterministic,"{""ip_range"": ""10.52.38.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Los Angeles"", ""location_country"": ""US"", ""hashed_email"": ""3ce9bac5560bb775b2b4d32798525495f2077e6d2894903afef521d4fc0ecf0b""}"
A_sess_00079_0970fb16,A,B_sess_00080_a78cb4b2,B,global_fb2654e2790e458a,deterministic,"{""ip_range"": ""10.111.39.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Mumbai"", ""location_country"": ""IN"", ""hashed_email"": ""3ad9a7e32836b567d2c53d1fd0289ca4d51b1845dc011699754dd6780887b244""}"
A_sess_00081_c8fca20e,A,B_sess_00082_f45ef01d,B,global_911a8d5624b04460,deterministic,"{""ip_range"": ""10.18.40.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Los Angeles"", ""location_country"": ""US"", ""hashed_email"": ""27050456a1aba99d33810c5e1db4ee15eeec11a8f6bb959da624df016ad77439""}"
A_sess_00083_dc5c7191,A,B_sess_00084_c02f9923,B,global_0026bd8184d74c24,deterministic,"{""ip_range"": ""10.231.41.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""2bafd01e312df765f3097b74dbcf700060c8a47146d56336a1bd238f3c760b96""}"
A_sess_00085_4ef1469a,A,B_sess_00086_d62b68d5,B,global_72340cd31f5d4a4c,deterministic,"{""ip_range"": ""10.197.42.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""b969b6a74736e26dd4d724d219cff070180e9a5ba789b347ac77b403d0a768c6""}"
A_sess_00087_668641ec,A,B_sess_00088_579969db,B,global_390032d6fc934f19,deterministic,"{""ip_range"": ""10.34.43.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""3a1e3871c72b2fa9ef86fff3c9d4ab5e86e8a3868acbb33c2593f04c159abe53""}"
A_sess_00089_992b06e6,A,B_sess_00090_d7630f9e,B,global_0c57f3f691374542,deterministic,"{""ip_range"": ""10.103.44.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""44f9e8727158b8954f97fa1b9bc307e3696f501a47a8e279599ad4a1bb76c48a""}"
A_sess_00091_799aeaea,A,B_sess_00092_c4371cd7,B,global_d5e0c961f14343c2,deterministic,"{""ip_range"": ""10.185.45.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""1ea7471d7e0a80e15421b3308184e5b855b84c2e2d7a898b774f78402a4c8c67""}"
A_sess_00093_411439b0,A,B_sess_00094_4152ffdd,B,global_bce0f024239c4fc0,deterministic,"{""ip_range"": ""10.144.46.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""8383daeede17f9dca7151ea76df66a7c327557a6b03b8d4060e161a813d050fa""}"
A_sess_00095_7b20095c,A,B_sess_00096_c4644d47,B,global_3115b2e3b20d4fb0,deterministic,"{""ip_range"": ""10.175.47.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""a8d6db6b29198fecdf5aa9d7d2bf782e6aca0f27431930cb8fc956f21a8ff731""}"
A_sess_00097_c37a2d5c,A,B_sess_00098_f3167e9a,B,global_58a61538eb504a61,deterministic,"{""ip_range"": ""10.228.48.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Mexico City"", ""location_country"": ""MX"", ""hashed_email"": ""379bb834611b6633af5ce9c2c98bfc632f9ef5faae6fb2d00d04a4b488997f36""}"
A_sess_00099_2b61ddec,A,B_sess_00100_bc402797,B,global_37b05778cf794546,deterministic,"{""ip_range"": ""10.178.49.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""32be21a598c6c28e889b5f4e92d27484643af5f99adae4789168ddb9f4da3636""}"
A_sess_00101_c33ff7bd,A,B_sess_00102_22474059,B,global_a50d48bf236048bd,deterministic,"{""ip_range"": ""10.20.50.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Mexico City"", ""location_country"": ""MX"", ""hashed_email"": ""2e50ac7726a599d14e25d67fd5dffb09582db90e1cfe3f209a22b1d1320ddb28""}"
A_sess_00103_625b2411,A,B_sess_00104_f0375df1,B,global_b188a0ff8bb0489c,deterministic,"{""ip_range"": ""10.46.51.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""e016e5921a4da2a75b3881020dd12b2ad051f0d803dcb5facc5c8a4630acbdc0""}"
A_sess_00105_5da04fea,A,B_sess_00106_3727589e,B,global_4ed4fddc5bc44625,deterministic,"{""ip_range"": ""10.115.52.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Singapore"", ""location_country"": ""SG"", ""hashed_email"": ""007cfb27950447d10927acc117952e7bd16c8868b57cd9d2f382aafce0522c11""}"
A_sess_00107_4dc4f42b,A,B_sess_00108_d30f2612,B,global_c58b073f0e3f4663,deterministic,"{""ip_range"": ""10.218.53.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""05d89f6682a5f98bbcd358d1718802838884ddbbd52d4d1f9a9ecb2394b74104""}"
A_sess_00109_b39dc524,A,B_sess_00110_89ba006a,B,global_a3b7fb7963ca4e08,deterministic,"{""ip_range"": ""10.123.54.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Seoul"", ""location_country"": ""KR"", ""hashed_email"": ""a084273ad103741d5132d0265145973803704f05813a51c6c44c0cc252e238b1""}"
A_sess_00111_54fdc5ed,A,B_sess_00112_ff290f00,B,global_ecf3154efcfa4710,deterministic,"{""ip_range"": ""10.44.55.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""987f63d8af26aabac42b6e99c39a140c4d0aa979523ee68111b49537be56380b""}"
A_sess_00113_c1bba29f,A,B_sess_00114_1301299d,B,global_ea9ca6931bdb42df,deterministic,"{""ip_range"": ""10.137.56.0/16"", ""device_type"": ""desktop"", ""location_city"": ""New York"", ""location_country"": ""US"", ""hashed_email"": ""ee04a39542a6afc0b2927d643422d8f418b04ca26c730ba86fb6bd99a0ab7135""}"
A_sess_00115_fc8e18c7,A,B_sess_00116_9ba4bf81,B,global_3d366b199ad84c98,deterministic,"{""ip_range"": ""10.254.57.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""e1a4d662f934eaef5287a38f6b7996b30e44ac4cc2ec220541fa26be9f19010d""}"
A_sess_00117_ac43c7d2,A,B_sess_00118_98358e7f,B,global_3d40f97624da4db4,deterministic,"{""ip_range"": ""10.70.58.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""5a849df4854398b1b0dc607b91637683cb093bd4c412568482c2769d9acfee07""}"
A_sess_00119_870f2d45,A,B_sess_00120_272f99e7,B,global_a99661b44fa1461a,deterministic,"{""ip_range"": ""10.92.59.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""a038883a1773f6c3c02e65b02b4f197784f07f7f6868676ea65f9635ad602850""}"
A_sess_00121_0d28c249,A,B_sess_00122_b9da3f24,B,global_17ed6fe7f79244b4,deterministic,"{""ip_range"": ""10.200.60.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Mumbai"", ""location_country"": ""IN"", ""hashed_email"": ""cd258a879ef7f34f7049c7215b1e37027e5ea22b33cdb97c6336ed132c6a0f31""}"
A_sess_00123_13723b72,A,B_sess_00124_a85e4b65,B,global_68aaea3b9df74852,deterministic,"{""ip_range"": ""10.84.61.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""28bc5e0d9ece6d5cf65a74a62e3b006a88b35f3bd96628525e8dcbb29a82e8e0""}"
A_sess_00125_acb0a38f,A,B_sess_00126_ce6a35b1,B,global_9c96eb178b3e4bc6,deterministic,"{""ip_range"": ""10.248.62.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Los Angeles"", ""location_country"": ""US"", ""hashed_email"": ""2b628af84f6dc0cd90b91e2e56526dad10576429e800a26ecc4e80247a9cee0f""}"
A_sess_00127_ebf24bec,A,B_sess_00128_b8cbd2ac,B,global_7780903afc7946e2,deterministic,"{""ip_range"": ""10.142.63.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Munich"", ""location_country"": ""DE"", ""hashed_email"": ""398285558e1693565b5d2b3776b601c2a234b08f25dcedaeb4a9b945ce87228e""}"
A_sess_00129_632b2daa,A,B_sess_00130_97d0d851,B,global_16c7aa53b3b04fca,deterministic,"{""ip_range"": ""10.143.64.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Seoul"", ""location_country"": ""KR"", ""hashed_email"": ""b24663de7aa44ee4ec7f2fe207b09b66cab99ac07804ccf655d9d1aef76ac044""}"
A_sess_00131_d0f27fe0,A,B_sess_00132_9097b409,B,global_de93a0d5424041b1,deterministic,"{""ip_range"": ""10.147.65.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Seoul"", ""location_country"": ""KR"", ""hashed_email"": ""fda22e1770842b9868767a0d0d1cb00955de0308bf58f59634780ffd06a8156f""}"
A_sess_00133_8018ebb4,A,B_sess_00134_d8cda6c7,B,global_517832532e9742cc,deterministic,"{""ip_range"": ""10.35.66.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Mexico City"", ""location_country"": ""MX"", ""hashed_email"": ""4505cb6d09423ff330ae132fdd0504736f847f4d9862b9ec6de91776d2a73da6""}"
A_sess_00135_97af506d,A,B_sess_00136_5e7a422e,B,global_f09383b528544bf0,deterministic,"{""ip_range"": ""10.141.67.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Tokyo"", ""location_country"": ""JP"", ""hashed_email"": ""88cf7a7d9c3bc53fbff1fc302f4514c51daa32ddf80afb73dbe4d4fce45db735""}"
A_sess_00137_e92f6f5b,A,B_sess_00138_031a132d,B,global_f569fa115c8344df,deterministic,"{""ip_range"": ""10.20.68.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Berlin"", ""location_country"": ""DE"", ""hashed_email"": ""accf5b2b19a1f81ae3dbf4ee1f21323df47882be4562a307a72ee21f444d1f1a""}"
A_sess_00139_6a0e1482,A,B_sess_00140_527bce4c,B,global_b57c4a383d604249,deterministic,"{""ip_range"": ""10.36.69.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Chicago"", ""location_country"": ""US"", ""hashed_email"": ""664e931598b39ae78ea98ecd450082ea2ae8baaa156df1d0d8bc4885d2156119""}"
A_sess_00141_3b0c67d2,A,B_sess_00142_93d23c7b,B,global_bf8f6417650c40bf,deterministic,"{""ip_range"": ""10.109.70.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Tokyo"", ""location_country"": ""JP"", ""hashed_email"": ""910afe1ed15a5a4e738102029a1656b92f9d071d539640af020052d3cadc17fa""}"
A_sess_00143_78f0ebeb,A,B_sess_00144_e7e8a6e2,B,global_a068c883013f451d,deterministic,"{""ip_range"": ""10.188.71.0/24"", ""device_type"": ""desktop"", ""location_city"": ""London"", ""location_country"": ""GB"", ""hashed_email"": ""8f4f850183c4cadee089858f69aacfd9dfcf92e08fee9588c6faa368821d1319""}"
A_sess_00145_56242957,A,B_sess_00146_bf9c8ec1,B,global_67647cec17b64059,deterministic,"{""ip_range"": ""10.58.72.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Seoul"", ""location_country"": ""KR"", ""hashed_email"": ""90012ea9603ee941cfcd3e5e801444b5fdcbe256ea77dbe52ea3c7ee4138701e""}"
A_sess_00147_6fda7627,A,B_sess_00148_3f73ab3b,B,global_546e4a7f57b0406a,deterministic,"{""ip_range"": ""10.12.73.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""6c4b962839eb082d7690c7c863fb2b562ee68d75765c9b33fdc21160b45276bc""}"
A_sess_00149_734baec2,A,B_sess_00150_e87fdc1a,B,global_d613ed9e047840d7,deterministic,"{""ip_range"": ""10.119.74.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""d15e5b054212479ac4e0d1cd257d83ea48338520aedcb508978055a9c4aaa9f5""}"
A_sess_00151_41f70e29,A,B_sess_00152_60c1f828,B,global_9b193fec81534f82,deterministic,"{""ip_range"": ""10.150.75.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""1357dc6b798e44d7c7462b674ee8824b7e4b29a421597b580989675b5b9b1d5d""}"
A_sess_00153_679aff7e,A,B_sess_00154_758644fe,B,global_a5164ec295cd4c70,deterministic,"{""ip_range"": ""10.91.76.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Mumbai"", ""location_country"": ""IN"", ""hashed_email"": ""fb65b30f7ae4501cece1ac70d8ba71427cb1a18a48e98fcd808033d8d09954c1""}"
A_sess_00155_17f8d0bc,A,B_sess_00156_bcf8baca,B,global_42fe99a0944344c7,deterministic,"{""ip_range"": ""10.47.77.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Toronto"", ""location_country"": ""CA"", ""hashed_email"": ""10cea2a5c851f0004de026c20f07b5c643640c049f364bddc49c34159f30203d""}"
A_sess_00157_1d388d2c,A,B_sess_00158_c6a6d5db,B,global_e730d9dfef99477c,deterministic,"{""ip_range"": ""10.246.78.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Mexico City"", ""location_country"": ""MX"", ""hashed_email"": ""0abac745793eb14cc68d3f74fbc4de19e4fd149bf58464ada5cd82d72bd35cc5""}"
A_sess_00159_04e10033,A,B_sess_00160_36e238c5,B,global_dccf5b7359394c3d,deterministic,"{""ip_range"": ""10.240.79.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Munich"", ""location_country"": ""DE"", ""hashed_email"": ""b9123aabfbeb1a6fae473aa9f609f417063586efc5572341d8a062dc8567b275""}"
